customer_id,age,tenure,balance,num_products,has_credit_card,is_active_member,estimated_salary,churn
1,56,3,11563,1,1,1,122828.65220768643,0
2,69,3,14051,3,0,1,35284.845526615725,0
3,46,9,11022,1,1,0,113200.2184481648,0
4,32,7,8234,3,1,0,107788.30768585164,0
5,60,5,21829,1,0,1,57777.611509558585,0
6,25,7,16173,3,1,0,111762.36158896185,0
7,38,9,13178,2,0,1,142821.98295024992,0
8,56,1,6570,3,0,1,35614.30139661222,1
9,36,7,24596,1,0,1,68358.2466350475,0
10,40,6,406,2,0,1,82581.20599996264,1
11,28,9,9206,3,0,0,137911.24307096275,1
12,28,1,4431,3,1,1,145471.3735930988,0
13,41,4,21627,3,0,0,83293.82957955988,0
14,53,9,6542,3,0,1,120003.40945706294,1
15,57,4,23320,3,1,1,93799.32285173796,0
16,41,3,8906,2,1,1,94533.95216896519,1
17,20,9,4146,2,1,0,63371.94180796277,0
18,39,2,12046,2,0,1,56034.749503665545,0
19,19,4,12611,2,0,1,64560.64151088494,0
20,41,6,13076,1,0,1,96759.36087084952,0
21,61,2,16524,2,1,0,33498.62232265068,1
22,47,8,4882,3,0,0,138869.8733227687,0
23,55,8,14113,3,1,0,48754.04514597314,0
24,19,1,13645,2,0,1,56410.64122456638,1
25,38,3,6012,3,1,0,92193.14117371757,0
26,50,9,17347,2,0,1,115213.77196047352,0
27,29,5,7151,3,0,0,41487.48656932768,0
28,39,6,24948,1,0,0,68123.36370565946,0
29,61,4,3610,1,1,1,146240.95266892284,0
30,42,2,9884,2,1,0,61481.15601371348,0
31,66,8,6894,2,0,1,67566.01740757763,0
32,44,6,13467,2,0,1,130379.81887416402,0
33,59,5,23695,3,0,0,36025.73180285463,0
34,45,9,16489,2,1,1,85753.58025707651,0
35,33,1,21923,1,0,1,75554.01173420044,0
36,32,5,9873,3,0,0,67990.41118903813,0
37,64,6,12289,2,0,0,64283.951285371746,0
38,68,5,12208,3,0,1,40964.89258324911,0
39,61,6,10828,3,1,0,67779.09952219785,1
40,69,6,23171,2,1,1,35166.28832588023,0
41,20,7,2137,3,0,1,123715.66363733223,0
42,54,4,20829,1,0,0,77787.3352749614,0
43,68,8,19914,1,1,0,83268.45987838939,0
44,24,7,1286,3,1,0,137231.3503740158,0
45,38,9,15710,2,0,0,108966.5980633465,0
46,26,7,11371,3,1,1,30967.092401054375,0
47,56,3,15945,1,1,1,143180.97875535418,0
48,35,3,7052,3,0,0,58457.33591732534,1
49,21,8,3654,3,1,0,42913.70217118306,0
50,42,5,23486,1,1,1,122175.38140570586,0
51,31,4,18743,3,0,1,90057.27790400619,1
